dane_kontaktowe_id;adres_email;numer_telefonu;adres
1;kontakt@samsung.com;512498265;Wrocław Kopernika 44
2;kontakt@bosch.com;512468985;Warszawa Piłsudskiego 23
3;kontakt@lg.com;556324985;Warszawa 11 Listopada 4
4;kontakt@hisense.com;521478963;Wrocław Hallera 411
5;kontakt@beko.com;568742391;Warszawa Stawowa 34
6;kontakt@haier.com;578426913;Warszawa Sudoła 123
7;kontakt@philips.com;526871493;Wrocław Kościuszki 83
8;kontakt@jura.com;596843172;Rzeszów Leśna 44
9;kontakt@krups.com;522384497;Rzeszów Żołnierzy Wyklętych 156
10;kontakt@siemens.com;513489621;Warszawa Wierzbowa 12
11;kontakt@delonghi.com;556899357;Wrocław Postępowa 56
12;kontakt@saeco.com;512488963;Warszawa Grenlandzka 420
